問題,答え,読み,最終確認日
住宅設備メーカー「TOTO」の社名の由来となった、同社の創業当時の社名は何でしょう？,東洋陶器,とうようとうき,2020/06/07
十返舎一九の『東海道中膝栗毛』で、「弥次さん」の名前は弥次郎兵衛ですが、「喜多さん」の名前は何でしょう？,喜多八,きたはち,2020/06/07
出家後は「天璋院」を名乗った、島津斉彬の養女から近衛忠熙の養女になり、徳川家定御台所となったことで知られる、2008年のNHK大河ドラマのタイトルにもなった人物は誰でしょう？,篤姫,あつひめ,2020/06/07
春の大三角を構成する3つの星とは、デネボラ、スピカと何でしょう？,アークトゥルス,アークトゥルス,2020/06/07
春日大社の「影向の松」を写したとされる大きな老松の絵が描かれていることが多い、能舞台の正面にある羽目板のことを何というでしょう？,鏡板,かがみいた,2020/06/07
初代伊藤看寿が『将棋図巧』第100番として発表した、611手詰の詰将棋の題名は何でしょう？,寿,ことぶき,2020/06/07
暑中見舞いから残暑見舞いに切り替える境目にあたる、二十四節気の1つは何でしょう？,立秋,りっしゅう,2020/06/07
書物のページの隅を折りたたみ、しおりの代わりにすることを、その形をある動物の体の一部にたとえて英語で何というでしょう？,ドッグイヤー,ドッグイヤー,2020/06/07
女性の代表的な夜会服である、ネックラインが大きく開き首元や背中の上部、胸元があらわになっているイブニングドレスのことを、「襟刳りドレス」を意味するフランス語で何というでしょう？,ローブ・デコルテ,ローブデコルテ,2020/06/07
女性の悲鳴などが甲高く鋭いことを、ある繊維の名前を使って「何を裂くよう」というでしょう？,絹を裂くよう,きぬ,2020/06/07
将棋で、一方の王（玉）が敵陣に入ることを漢字2文字で何というでしょう？,入玉,にゅうぎょく,2020/06/07
将棋で歩、香、桂、銀が成ると、それらは何という駒と同じ動きをするようになるでしょう？,金,きん,2020/06/07
将棋の一般的な対局で自陣に並べられる20枚の駒のうち、初手で動かすことができない駒は何枚あるでしょう？,3枚,3,2020/06/07
将棋の戦法を大きく2つに分けたうち、相掛かり、矢倉、横歩取りなど、飛車を初期位置または盤の右側で使う戦法を総称して何というでしょう？,居飛車,いびしゃ,2020/06/07
将軍・徳川家治の信任により側用人から老中に上り詰めて重商主義政策を推し進めたものの、家治の死とともに失脚した人物は誰でしょう？,田沼意次,たぬまおきつぐ,2020/06/07
消しゴムを発明した人物でもあり、アメリカ化学会が授与する賞にもその名を残している、アンモニア、塩化水素、酸素など多数の気体を発見したイギリス出身の化学者は誰でしょう？,ジョゼフ・プリーストリー,プリーストリー,2020/06/07
象徴主義詩の先駆けとなった、フランスの詩人ボードレールの生前唯一の詩集のタイトルは何でしょう？,『悪の華』,あくのはな,2020/06/07
新井白石を中心として徳川綱吉の死後に行われた、武家諸法度の改定や生類憐みの令の見直しなどを含む政治改革のことを、当時の元号をとって「何の治」というでしょう？,正徳の治,しょうとく,2020/06/07
新月の時を0とし、満月の時は14～15前後である、月の満ち欠けとおおむね連動している暦法における時間単位を日本語で何というでしょう？,月齢,げつれい,2020/06/07
真偽が疑わしいもののことを、顔の一部を表す漢字を使って「何物」というでしょう？,眉唾物,まゆつば,2020/06/07
神奈川県葉山町に本部を置く、1988年に日本の国立大学で初めて学部を持たない「大学院大学」として設置された学校を何大学院大学というでしょう？,総合研究大学院大学,そうごうけんきゅう,2020/06/07
人形の胴体部分を開けると、中から次々と一回り小さい人形が出てくるという入れ子構造になっている、ロシアの民芸品である木製人形を何というでしょう？,マトリョーシカ,マトリョーシカ,2020/06/07
人体において、胆汁の生成を行う臓器はどこでしょう？,肝臓,かんぞう,2020/06/07
水、揚げ、焼きなどの種類が知られ、中国では子宝や長寿などを願う縁起物としても食べられる、小麦粉で作った皮で肉などの具を包む料理は何でしょう？,餃子,ぎょうざ,2020/06/07
水冷法、フレーク法、タブリール法などの方法がある、チョコレートに光沢を出し、口当たりを良くするために必要な、カカオバターの結晶構造を安定させる温度調整を英語で何というでしょう？,テンパリング,テンパリング,2020/06/07
数え年97歳を迎えた人が風車を持ってパレードをする、沖縄で行われる長寿のお祝いを「風車」を意味する言葉で何というでしょう？,カジマヤー,カジマヤー,2020/06/07
世界で最も長い題名のアルバムとしてギネス世界記録に認定されていた、フィオナ・アップルのセカンド・アルバムの邦題は何でしょう？,『真実』,しんじつ,2020/06/07
世界の国で、面積が最も小さいのはバチカン市国ですが、最も大きいのはどこでしょう？,ロシア,ロシア,2020/06/07
世界初の個展を開催したとされる、代表作に『オルナンの埋葬』『画家のアトリエ』などがあるフランスの画家は誰でしょう？,ギュスターヴ・クールベ,クールベ,2020/06/07
勢い余って歩みを進めることを、鉄の精錬の際に足で勢いよく踏んで空気を送り込む道具の名前を用いて「何を踏む」というでしょう？,たたらを踏む,たたら,2020/06/07
正極の銅と負極の亜鉛を希硫酸に浸すという構造のガルバニ電池の一種を、1800年にこれを考案したイタリアの物理学者の名をとって何電池というでしょう？,ボルタ電池,ボルタ,2020/06/07
正式名称を「コロン諸島」という、ゾウガメやイグアナなどの固有種の生息地として知られるエクアドル領の島々を一般に何諸島というでしょう？,ガラパゴス諸島,ガラパゴス,2020/06/07
正式名称を「全日本実業団対抗駅伝競走大会」という駅伝の大会を、その開催日にちなんだ通称で何駅伝というでしょう？,ニューイヤー駅伝,ニューイヤー,2020/06/07
正式名称を「日本司法支援センター」という、法的な問題を抱えた人に無料の法律相談や関係機関への案内などを行う、法務省所管の法人は何でしょう？,法テラス,ほうテラス,2020/06/07
西暦13000年の前後数世紀にわたって北極星となると予想されている、こと座のα星は何でしょう？,ベガ,ベガ,2020/06/07
青森県の下北半島の北端に位置する、本州最北端の岬は何でしょう？,大間崎,おおまざき,2020/06/07
石灰水に二酸化炭素を通した時に沈殿する化合物は何でしょう？,炭酸カルシウム,たんさんカルシウム,2020/06/07
石山合戦で本願寺門徒を率い、織田信長に武力で対抗した、浄土真宗本願寺派の第11世宗主は誰でしょう？,顕如,けんにょ,2020/06/07
石清水八幡宮で元服したことから「八幡太郎」と称された、平安時代後期に陸奥国で起こった前九年の役や後三年の役で活躍し、東国における源氏勢力の基盤を築いた武将は誰でしょう？,源義家,みなもとのよしいえ,2020/06/07
宣教師のガスパル・ヴィレラが「この町はベニス市の如く執政官に依りて治められる」と表現したとする記述が『耶蘇会士日本通信』に残っている、戦国時代に36人の会合衆による自治が展開されていた都市はどこでしょう？,堺,さかい,2020/06/07
選挙カーに乗ってアナウンスをする人のうち、女性は「ウグイス嬢」と呼びますが、男性の場合は何と呼ぶでしょう？,カラス,カラス,2020/06/07
前の失敗に懲りて必要以上に慎重になることを、ある料理の名前を使って「羹に懲りて何を吹く」というでしょう？,羹に懲りて膾を吹く,なます,2020/06/07
相撲で、脂肪の少ない力士をソップ型というのに対し、脂肪が多く太っている力士のことを何型というでしょう？,アンコ型,アンコ,2020/06/07
太秦映画村やワープステーション江戸など観光スポット化しているものもある、映画やテレビドラマなどの撮影で用いるために、建物や町並みなどを屋外に再現したセットのことを、和製英語で何セットというでしょう？,オープンセット,オープン,2020/06/07
太陽系にある衛星の中では最も直径が大きい、木星の第3衛星は何でしょう？,ガニメデ,ガニメデ,2020/06/07
体操競技の「段違い平行棒」で使う鉄棒のうち、高いほうの棒の高さは何cmでしょう？,250cm,250,2020/06/07
退職した官僚が、勤務していた官庁と関係の深い民間企業や団体の高い地位に就くことを、神が天界から人間界に降りる様子にたとえて何というでしょう？,天下り,あまくだり,2020/06/07
代表曲に『TOKIO』や『勝手にしやがれ』がある、「ジュリー」の愛称で親しまれている歌手は誰でしょう？,沢田研二,さわだけんじ,2020/06/07
代表作に「春眠暁を覚えず」で始まる詩『春暁』などがある、中国・唐の詩人は誰でしょう？,孟浩然,もうこうねん,2020/06/07
代表作に「浮気之相」「ぽっぴんを吹く娘」などからなる『婦人相学十躰』や『当時三美人』などがある、美人画を多く残した江戸時代の浮世絵師は誰でしょう？,喜多川歌麿,きたがわうたまろ,2020/06/07
代表作に『青い部屋』『アダムとイヴ』などがあるフランスの画家で、同じく画家のモーリス・ユトリロの母親としても知られるのは誰でしょう？,シュザンヌ・ヴァラドン,ヴァラドン,2020/06/07
代表作に『腕くらべ』『あめりか物語』『断腸亭日乗』などがある、明治から昭和にかけ活動した日本の小説家は誰でしょう？,永井荷風,ながいかふう,2020/06/07
大きく「ヘジォナウ」と「アンゴーラ」の流派があり、奴隷がダンスにカモフラージュしながら練習した格闘技が源流とされる、格闘技と音楽が融合したブラジルの文化を何というでしょう？,カポエイラ,カポエイラ,2020/06/07
大学に在籍しながら別の大学を再度受験するために勉強している学生のことを、俗に「何浪人」というでしょう？,仮面浪人,かめん,2020/06/07
大学入試の過去問題集のうち、通称「青本」と呼ばれる『大学入試完全対策シリーズ』を発行している出版社は何文庫でしょう？,駿台文庫,すんだい,2020/06/07
大阪府側からの峠道には自動車が通れる国道としては日本一の急勾配といわれる坂がある、大阪府東大阪市と奈良県生駒市の境にある峠は何でしょう？,暗峠,くらがり,2020/06/07
大相撲の番付における「三役」とは、大関、関脇とあと1つは何でしょう？,小結,こむすび,2020/06/07
第1回はアンリ・デュナンとフレデリック・パシーが受賞した、日本人では佐藤栄作が受賞しているのは、ノーベル何賞でしょう？,ノーベル平和賞,へいわ,2020/06/07
第1回植村直己冒険賞を受賞している、世界で初めてエベレスト北壁登攀に成功したことや、ミャンマーの最高峰カカボラジ山に初登頂したことで知られる日本の登山家は誰でしょう？,尾崎隆,おざきたかし,2020/06/07
第二次大戦期にアメリカが開発したインプロージョン方式のプルトニウム原子爆弾の通称で、特に1945年8月9日に長崎市に投下されたものを指すことも多い名称は何でしょう？,ファットマン,ファットマン,2020/06/07
卓球のゲーム開始時に主審が告げる、英語で「0対0」を意味する言葉は何でしょう？,ラブオール,ラブオール,2020/06/07
単体が常温・常圧で液体となる唯一の非金属元素である、原子番号35、元素記号Brの元素は何でしょう？,臭素,しゅうそ,2020/06/07
男女ペアになった人形の手足の絡ませ方によって恋愛運や金運など様々な幸福を運ぶという、サイパンやグアムのお土産として人気が高い、現地のチャモロ人に伝わる願掛け人形は何人形でしょう？,ボージョボー人形,ボージョボー,2020/06/07
男性アイドルグループ・TOKIOのリーダーを務める、最年長のメンバーは誰でしょう？,城島茂,じょうしましげる,2020/06/07
地質時代の1つ「白亜紀」の名前の由来になった、日本語では「白亜」と呼ばれる白色の堆積岩は何でしょう？,チョーク,チョーク,2020/06/07
地方発のアイドルで、「dela」「TEAM SHACHI」「SKE48」といえば、どの都道府県を発祥とするグループでしょう？,愛知県,あいち,2020/06/07
茶碗蒸しの「空也蒸し」とは、通常の茶碗蒸しに何を加えて、餡をかけたものでしょう？,豆腐,とうふ,2020/06/07
中宮定子の兄で、叔父の道長と弓で対決した逸話が『大鏡』に残されていることで知られる平安時代の貴族は誰でしょう？,藤原伊周,ふじわらのこれちか,2020/06/07
中国の小説『三国志演義』に「500斤の荷物を背負って1日に700里歩くことができる豪傑」として登場する、後漢時代末期の武将は誰でしょう？,胡車児,こしゃじ,2020/06/07
中国語では「班卓琴」と書く、ディキシーランド・ジャズやカントリー音楽に使われるアメリカ生まれの弦楽器は何でしょう？,バンジョー,バンジョー,2020/06/07
中国神話の霊獣「四神」のうち、西方を守護する神は何でしょう？,白虎,びゃっこ,2020/06/07
中国名では利瑪竇という、中国初の世界地図「坤輿万国全図」を作成したことで知られるイタリアの宣教師は誰でしょう？,マテオ・リッチ,マテオリッチ,2020/06/07
著者の死後、1532年に刊行された、国家権力者を論じた全26章からなるイタリアの思想家マキャヴェッリの著書は何でしょう？,『君主論』,くんしゅろん,2020/06/07
著書『北方古代文化入門』の中で、古代を「石器時代」「青銅器時代」「鉄器時代」の3つに区分することを提唱した、デンマークの考古学者は誰でしょう？,クリスチャン・トムセン,トムセン,2020/06/07
著書である『われはロボット』などのロボットシリーズの中で「ロボット工学の3原則」を示したことでも知られる、ロシア生まれのアメリカのSF作家は誰でしょう？,アイザック・アシモフ,アシモフ,2020/06/07
著書に『野生の思考』『悲しき熱帯』などがある、構造主義人類学に大きく寄与した功績を持つフランスの文化人類学者は誰でしょう？,クロード・レヴィ＝ストロース,レヴィストロース,2020/06/07
彫刻家のリム・ナン・センによって制作された、上半身がライオン、下半身が魚の姿をした、シンガポールのシンボルともいわれる像は何でしょう？,マーライオン,マーライオン,2020/06/07
朝鮮半島の軍事境界線上に位置し、2018年の韓国の文在寅大統領と北朝鮮の金正恩朝鮮労働党委員長との首脳会談など、南北間の政治的な会議が多く行われる地区を、韓国・朝鮮語読みで何というでしょう？,板門店,パンムンジョム,2020/06/07
鳥山明の漫画『Dr.スランプ』の主人公・アラレちゃんの名字は何でしょう？,則巻,のりまき,2020/06/07
漬物のザワークラウトとサラダのコールスローに通常共通して使われるアブラナ科の野菜といえば何でしょう？,キャベツ,キャベツ,2020/06/07
帝政ドイツの3B政策の「3B」が意味する3つの都市とは、ベルリン、ビザンティウムとどこでしょう？,バグダッド,バグダッド,2020/06/07
島根県・出雲平野の民家に見られる、洪水や風の害から建物を守るために並べて植えられ、きれいに刈り整えられた松の屋敷林のことを、何松というでしょう？,築地松,ついじ,2020/06/07
東京国立博物館所蔵の『歌舞伎図屏風』や『見返り美人図』などの代表作で知られる、「浮世絵の祖」とも称される江戸時代初期の浮世絵師は誰でしょう？,菱川師宣,ひしかわもろのぶ,2020/06/07
東京都に現在3駅ある新幹線停車駅とは、品川駅、東京駅と何駅でしょう？,上野駅,うえの,2020/06/07
東側3分の2をドミニカ共和国、西側3分の1をハイチが統治している、カリブ海に浮かぶ島は何でしょう？,イスパニョーラ島,イスパニョーラ,2020/06/07
当初は「BackRub」という名称で、1996年よりスタンフォード大学院生であったラリー・ペイジとセルゲイ・ブリンにより開発が始められた、現在世界最大の利用者を誇るインターネットの検索エンジンといえば何でしょう？,Google,グーグル,2020/06/07
当初は「ボズ」をペンネームとしていた、代表作に『二都物語』や『クリスマス・キャロル』などがあるイギリスの作家は誰でしょう？,チャールズ・ディケンズ,ディケンズ,2020/06/07
藤間一男がルールを考案し、日本プロポケットビリヤード連盟のプロテスト実技試験種目として採用されている、ボウリング形式でスコアを付けるビリヤード競技は何でしょう？,ボウラード,ボウラード,2020/06/07
童謡『虫のこえ』の歌詞で、「ちんちろちんちろちんちろりん」と鳴いているコオロギ科の昆虫は何でしょう？,マツムシ,マツムシ,2020/06/07
道府県警察のトップは本部長ですが、東京都の警視庁のトップは何という役職名でしょう？,警視総監,けいしそうかん,2020/06/07
道路脇の排水設備であるU字溝や側溝などに使用されている、表面排水を行うための格子状の溝蓋を何というでしょう？,グレーチング,グレーチング,2020/06/07
特に耳かきの音や咀嚼音、ささやき声など、心地よい音を収録したネット動画を指す呼び名としてもよく用いられる、人の脳が聴覚や視覚への刺激によって感じる心地よさを意味するアルファベット4文字の略語は何でしょう？,ASMR,ASMR,2020/06/07
二酸化マンガンに過酸化水素水を加えた時に発生する気体は何でしょう？,酸素,さんそ,2020/06/07
日刊新聞の社会面のことを、明治時代の新聞においてそれが掲載されていたページにちなんで俗に何記事というでしょう？,三面記事,さんめん,2020/06/07
日清食品のカップヌードルの具材に使われている、インド太平洋に生息しているクルマエビ科の小さなエビは何でしょう？,プーバラン,プーバラン,2020/06/07
日本で、競馬の馬券が購入できる年齢は満何歳以上と定められているでしょう？,満20歳以上,20,2020/06/07
日本での公開当時は「理力」とも訳された、映画『スター・ウォーズ』シリーズにおいて万物に存在するとされるエネルギー体のことを何というでしょう？,フォース,フォース,2020/06/07
日本ではかつて「人造バター」と呼ばれていた、バターの代用として主に植物性油脂から作られる加工食品は何でしょう？,マーガリン,マーガリン,2020/06/07
日本では冬至にこれの実を浮かべた風呂に入浴する風習がある、ミカン科の常緑植物は何でしょう？,ユズ,ユズ,2020/06/07
日本でペットボトルのリサイクル識別表示マークの中心に書かれている数字は何でしょう？,1,1,2020/06/07
日本で国宝がない2つの都道府県とは、宮崎県とどこでしょう？,徳島県,とくしま,2020/06/07
日本で初めて雪の結晶を顕微鏡で観察した人物として知られ、その観察結果をまとめた『雪華図説』を出版した、「雪の殿様」の愛称で親しまれた下総古河藩の第4代藩主は誰でしょう？,土井利位,どいとしつら,2020/06/07
日本で生産されるうち99%が石川県金沢市で作られている、金と微量の銀や銅を金槌で薄く伸ばしたものを何というでしょう？,金箔,きんぱく,2020/06/07
日本における小学6年から中学3年に相当する、フランスの4年制の前期中等教育機関を何と呼ぶでしょう？,コレージュ,コレージュ,2020/06/07
日本の黄檗宗の開祖・隠元により伝えられたことから「黄檗料理」とも呼ばれる、江戸時代初期に日本に伝わり、胡麻豆腐など植物油や葛を多用した料理に代表される精進料理の一種を何料理というでしょう？,普茶料理,ふちゃ,2020/06/07
日本の気象庁が発表する情報のうち、「気象警報」にあって「特別警報」にない唯一の項目名は何でしょう？,洪水,こうずい,2020/06/07
日本の競馬における「馬券」を正式には何というでしょう？,勝馬投票券,かちうまとうひょうけん,2020/06/07
日本の刑法第36条1項に規定されている、急迫不正の侵害に対し、自己または他人の権利を防衛するためにやむを得ず行う加害行為を漢字4文字で何というでしょう？,正当防衛,せいとうぼうえい,2020/06/07
日本の国家資格の1つで、物品の輸出入の際の税関での手続きを代行する業務に必要となるのは何でしょう？,通関士,つうかんし,2020/06/07
日本の国歌『君が代』が正式に法律で国歌と定められたのは西暦何年でしょう？,1999年,1999,2020/06/07
日本の四大公害病とは、水俣病、新潟水俣病、四日市ぜんそくとあと1つは何でしょう？,イタイイタイ病,イタイイタイびょう,2020/06/07
日本の自由民主党で「党三役」と呼ばれる3つの役職とは、幹事長、総務会長と何でしょう？,政務調査会長,せいむちょうさかいちょう,2020/06/07
日本の中央省庁のうち、宝くじ事業を地方財政制度の一環として所管しているのはどこでしょう？,総務省,そうむ,2020/06/07
日本の伝統芸能の1つ「人形浄瑠璃」において、語りを担当する人のことを何というでしょう？,太夫,たゆう,2020/06/07
日本の都道府県で、市区町村数が最も少ないのはどこでしょう？,富山県,とやま,2020/06/07
日本の都道府県で唯一、一級河川が全くないのはどこでしょう？,沖縄県,おきなわ,2020/06/07
日本の都道府県庁所在地のうち、市名が漢字3文字で表記されるのは名古屋市、鹿児島市、宇都宮市と何市でしょう？,和歌山市,わかやま,2020/06/07
日本の都道府県庁所在地のうち「岡」という字が使われている4市とは、岡山市、静岡市、福岡市とどこでしょう？,盛岡市,もりおか,2020/06/07
日本の道路標識で「駐車可」を表すアルファベット1文字は何でしょう？,P,P,2020/06/07
日本の民法第731条で、男性は何歳にならなければ婚姻をすることができないと定められているでしょう？,18歳,18,2020/06/07
日本の歴代内閣総理大臣のうち、「太郎」という名前の2人とは、麻生太郎とあと1人は「何 太郎」でしょう？,桂太郎,かつら,2020/06/07
日本の裲襠や南米のポンチョなどがこれにあたる、一枚布の中央に穴をあけ、頭を通して着る衣服のことを、漢字3文字の総称で何というでしょう？,貫頭衣,かんとうい,2020/06/07
日本レコード大賞で女性歌手初の2連覇を達成した、代表曲に『セカンド・ラブ』『少女A』『DESIRE -情熱-』があるアーティストは誰でしょう？,中森明菜,なかもりあきな,2020/06/07
日本語では「絵解き」ともいう、写真やイラストに添えられる簡潔な説明文を英語で何というでしょう？,キャプション,キャプション,2020/06/07
日本語では「暑さ指数」とも呼ばれる、乾球温度、湿球温度、黒球温度を用いて算出される指標を、「湿球黒球温度」を意味する英語を略してアルファベット4文字で何というでしょう？,WBGT,WBGT,2020/06/07
日本語では「北大西洋条約機構」という安全保障同盟機構をアルファベット4文字で何というでしょう？,NATO,NATO,2020/06/07
日本語では単に「羅針図」や「コンパス図」などともいう、地図や海図に描かれる方位を示した図形のことを、ある花にたとえて何というでしょう？,コンパスローズ,コンパスローズ,2020/06/07
日本語の「出歯亀」にあたる英語で、覗き見の趣味がある人のことを、ある人名を使った俗語で何というでしょう？,ピーピング・トム,ピーピングトム,2020/06/07
日本最南端の沖ノ鳥島や最東端の南鳥島がある都道府県はどこでしょう？,東京都,とうきょう,2020/06/07
日本在住のギタリスト、マーティ・フリードマンが所属していたことでも知られる、俗に「スラッシュメタル四天王」の1つに数えられるアメリカのバンドは何でしょう？,メガデス,メガデス,2020/06/07
日本神話でイザナギノミコトが岩で塞いだとされる、黄泉の国との境目にある道を何というでしょう？,黄泉比良坂,よもつひらさか,2020/06/07
日本人の場合99%以上が陽性である、1940年にラントシュタイナーとウィーナーが発表した赤血球の型を、実験に用いたアカゲザルの頭文字をとって何因子というでしょう？,Rh因子,Rh,2020/06/07
入院患者がベッドから看護師を呼び出せるよう病室に取り付けられている、押しボタンなどからなる装置のことを一般に和製英語で何というでしょう？,ナースコール,ナースコール,2020/06/07
俳句で「山笑う」はどの季節の季語でしょう？,春,はる,2020/06/07
俳優の加山雄三が作曲家として活動する時に使用するペンネームは何でしょう？,弾厚作,だんこうさく,2020/06/07
肺結核のため若くして亡くなった、新選組の一番隊組長だった武士は誰でしょう？,沖田総司,おきたそうじ,2020/06/07
発布された年号から「養老七年格」とも呼ばれる、新しく土地を開墾した場合に、本人から3代にわたってその土地の私有を認めるとする奈良時代の法を何というでしょう？,三世一身法,さんぜいっしんのほう,2020/06/07
樋口一葉の小説『たけくらべ』の冒頭にも登場する、かつての江戸・吉原の遊郭を訪れた客が大門から外へ出る際に、名残を惜しんで振り返ったことからその名がついたとされる木の通称は何でしょう？,見返り柳,みかえりやなぎ,2020/06/07
鼻のピアスのうち、片方の鼻孔から鼻の表面へ貫通させるものを「鼻孔」「小鼻」といった意味の英語で何というでしょう？,ノストリル,ノストリル,2020/06/07
夫の繁治は詩人で、夫婦ともに香川県の小豆島出身である、小説『二十四の瞳』などの代表作がある作家は誰でしょう？,壺井栄,つぼいさかえ,2020/06/07
父の孝はバルセロナオリンピック体操競技の銅メダリストである、ジャニーズ事務所のアイドルユニット「Hey! Say! JUMP」の最年少メンバーで、映画『金メダル男』や『坂道のアポロン』の主演を務めた人物は誰でしょう？,知念侑李,ちねんゆうり,2020/06/07
平面上の2つの定点からの距離の差が一定となる点の軌跡から作られる曲線を何というでしょう？,双曲線,そうきょくせん,2020/06/07
米粉を原料とし、中国語では「米粉」と表記される中国南部発祥の麺を、日本では一般に何と呼ぶでしょう？,ビーフン,ビーフン,2020/06/07
別名「エピネフリン」ともいい、血圧や心拍数を上昇させる働きを持つ、化学式C9H13NO3で表される副腎髄質ホルモンは何でしょう？,アドレナリン,アドレナリン,2020/06/07
別名「ピクサーボール」とも呼ばれる、ピクサー制作の映画に頻繁に登場する星印の付いたボールを、ピクサーとして初めて公開した短編映画にちなんで何ボールというでしょう？,ルクソーボール,ルクソー,2020/06/07
別名「地層累重の法則」とも呼ばれる、「重なり合う2つの地層では、原則として下の地層のほうが古い」という法則を、提唱者と証明者である2人の人名から何の法則というでしょう？,ステノ・スミスの法則,ステノスミス,2020/06/07
別名「提頭頼吒（だいずらた）」ともいい、東方を守ることから「東方天」とも呼ばれる、仏教の帝釈天に仕える四天王の1人を一般に何と呼ぶでしょう？,持国天,じこくてん,2020/06/07
別名に「四方赤良」や「蜀山人」などがあり、唐衣橘洲・朱楽菅江とともに天明期を代表する狂歌三大家の1人に数えられる人物で、江戸幕府の官僚として勤める傍ら、多数の随筆や狂歌などを残した文人は誰でしょう？,大田南畝,おおたなんぽ,2020/06/07
別名を「トリクロロメタン」といい、ミステリー作品などでこれを染み込ませたハンカチを人の口に押し当てて気を失わせるシーンがよく登場する、麻酔作用を持つ有機化合物をその一般名で何というでしょう？,クロロホルム,クロロホルム,2020/06/07
別名を「ホモロサイン図法」という、高緯度地域をモルワイデ図法、低緯度地域をサンソン図法で描いた世界地図の断片をつなぎ合わせる図法を、考案者であるアメリカの地理学者の名をとって何図法というでしょう？,グード図法,グード,2020/06/07
別名を「秦公寺」「太秦寺」などといい、弥勒菩薩半跏像や阿弥陀如来坐像など多くの国宝を所蔵することでも知られる、京都最古の寺院とされる真言宗の寺院は何でしょう？,広隆寺,こうりゅうじ,2020/06/07
保温や保水、雑草抑制などのために、藁やプラスチックフィルムで作物の畝を覆うことを「根覆い」といった意味の英語から何というでしょう？,マルチング,マルチング,2020/06/07
墓場や葬式から遺骸を奪う妖怪の名前と、消費者金融のあり方をテーマとする宮部みゆきの小説のタイトルに共通する言葉は何でしょう？,火車,かしゃ,2020/06/07
法隆寺の五重塔や薬師寺の東塔のものが有名な、寺院建築で建物の軒下に取り付けられる小さな庇を何というでしょう？,裳階,もこし,2020/06/07
棒高跳びで、飛び越える棒のことを「バー」といいますが、手に持って走る棒を何というでしょう？,ポール,ポール,2020/06/07
北海道の壮瞥郵便局長で、昭和新山の誕生過程を細かく記録した「ミマツダイヤグラム」を作成した人物は誰でしょう？,三松正夫,みまつまさお,2020/06/07
本名をもじった「高森朝雄」の名義で『あしたのジョー』の原作を手掛けたほか、『タイガーマスク』『巨人の星』など多くの名作スポ根漫画の原作を手掛けた人物は誰でしょう？,梶原一騎,かじわらいっき,2020/06/07
本名を篠岡建といい、現在の6代目三遊亭円楽にかつて落語家として弟子入りしていた経歴を持つ、「中二病」という言葉の生みの親としても知られるタレントは誰でしょう？,伊集院光,いじゅういんひかる,2020/06/07
本名を村上美津という、舞台『放浪記』やドラマ『時間ですよ』などで主演を務め、2009年には国民栄誉賞を受賞した日本の女優は誰でしょう？,森光子,もりみつこ,2020/06/07
本名を大出弓紀子という、『鳥取砂丘』『釧路湿原』『熊野古道』などのご当地ソングを数多く歌い「ご当地ソングの女王」の異名を持つ演歌歌手は誰でしょう？,水森かおり,みずもりかおり,2020/06/07
本名を本田潤一という、吉野源三郎の小説『君たちはどう生きるか』の主人公である少年のことを、その叔父が付けた通称で何というでしょう？,コペル君,コペルくん,2020/06/07
本来は均質であるべきものの中にできた空間を指す、古い大根やゴボウ、煮すぎた豆腐などにできる隙間や穴のことを何というでしょう？,鬆,す,2020/06/07
毎年4月8日に行われる花祭りで仏像にかけるものとして古くから用いられた、ユキノシタ科の植物から作る飲み物は何でしょう？,甘茶,あまちゃ,2020/06/07
又吉直樹の小説『火花』で、山下とお笑いコンビ「スパークス」を組んでいる主人公の名前は何でしょう？,徳永,とくなが,2020/06/07
漫画『あしたのジョー』の主人公・ジョーの名字は何でしょう？,矢吹,やぶき,2020/06/07
民法典論争の際『法学新報』に論文「民法出デテ忠孝亡ブ」を発表したことや、天皇主権説を提唱したことで知られる、明治期に活動した法学者は誰でしょう？,穂積八束,ほづみやつか,2020/06/07
無人コンビニ「TOUCH TO GO」の1号店が置かれたほか、警備ロボット、AI案内員といった新技術の導入・実証実験も行われている、2020年に田町駅と品川駅の間に開業したJR東日本の駅はどこでしょう？,高輪ゲートウェイ駅,たかなわゲートウェイ,2020/06/07
名を「良雄」という、赤穂浪士四十七士を率いて吉良邸に討ち入りした赤穂藩筆頭家老を一般に何というでしょう？,大石内蔵助,おおいしくらのすけ,2020/06/07
名字は縞野という、ベネッセコーポレーションの幼児向け教材『こどもちゃれんじ』などに登場する虎をモチーフとした男の子のキャラクターの名前は何でしょう？,縞野しまじろう,しまじろう,2020/06/07
明訓高校野球部を主な舞台に、主人公・山田太郎らの活躍を描く、1970年代を中心に人気を博した水島新司の野球漫画は何でしょう？,『ドカベン』,ドカベン,2020/06/07
明治維新後は「貞雄」と改名し、通信技師などとして勤めたという、会津戦争において飯盛山で集団自決をはかった19名の白虎隊隊員の中で唯一生き残った人物は誰でしょう？,飯沼貞吉,いいぬまさだきち,2020/06/07
明治期に「ハイカラ」に対するアンチテーゼとして生まれ、旧制高等学校の生徒から流行した、弊衣破帽に高下駄、腰に提げた手拭いなどを特徴とするスタイルのことを何というでしょう？,バンカラ,バンカラ,2020/06/07
明治時代に黒い門の武家屋敷跡を校舎としていたことから、当時の帝国大学の「赤門」にあやかって「黒門」の通称で呼ばれるようになったという、東京・神田神保町に本部を置く私立大学はどこでしょう？,専修大学,せんしゅう,2020/06/07
